a1;a2;a3;a4;a5;sum
0.02119737;0.03250223;-0.01866093;-0.01824843;-0.01679024;0.1073992
-0.03005744;0.02898338;0.00846892;0.01637851;-0.02377336;0.10766161
-0.01462421;0.03040532;-0.01919521;-0.02010597;0.02352007;0.10785078
-0.01470097;0.03118158;-0.02199257;-0.0175152;0.02302715;0.10841747
-0.01982893;0.02917213;-0.01946895;0.02563305;-0.0155073;0.10961036
0.02109984;0.03370541;-0.01375711;-0.02449997;-0.01654816;0.10961049
0.01678415;0.02364722;0.01507585;-0.02987413;-0.02563309;0.11101444
0.02234063;0.03399773;-0.01605873;-0.02143145;-0.01884818;0.11267672
-0.01208758;0.02952741;-0.02267391;-0.02165503;0.02688911;0.11283304
-0.02971445;0.02367995;0.0169939;0.01643514;-0.02739454;0.11421798
0.01366275;0.02207905;-0.02667214;-0.03088391;0.02181425;0.1151121
0.02410415;0.03401426;-0.01943408;-0.01830476;-0.02037957;0.11623682
-0.01429688;0.03277523;-0.02477798;0.02534548;-0.01904586;0.11624143
0.01314269;0.03064324;-0.0265214;-0.0317439;0.01447937;0.1165306
-0.01410163;0.03976997;-0.02169471;-0.02289513;0.0189215;0.11738294
0.0318588;-0.01528799;0.0269004;-0.02184854;-0.02162267;0.1175184
0.01922684;0.02517374;0.01439088;-0.03688002;-0.02191144;0.11758292
0.02930103;0.02952922;-0.01799555;-0.02438358;-0.01645112;0.1176605
0.0252093;0.03372075;-0.01825305;-0.02228999;-0.01838702;0.11786011
-0.02482299;0.03783888;-0.02526974;0.0211762;-0.00892235;0.11803016
-0.00864587;0.0349812;0.02407621;-0.02599851;-0.02441304;0.11811483
-0.0287879;0.02619226;-0.03038909;0.01366521;0.01931952;0.11835398
-0.0213125;0.03574644;0.01709403;0.00783434;-0.0393623;0.12134961
-0.01923774;0.04498638;0.01589861;-0.0193228;-0.02232445;0.12176998
-0.02265451;0.04305433;-0.02776181;0.01799348;-0.01063149;0.12209562
0.02024292;0.02165198;-0.03046464;-0.03078767;0.01935741;0.12250462
-0.02063693;0.02813971;0.01582789;-0.04083947;0.0175088;0.1229528
-0.0189022;0.02428509;-0.04282401;0.01643354;0.02100757;0.12345241
-0.03065245;0.03137675;0.01150653;0.01912263;-0.03135347;0.12401183
-0.03215882;0.04374467;0.00650246;0.01178404;-0.02987235;0.12406234
0.01440148;0.03564818;0.01350226;-0.04320292;-0.02034901;0.12710385
-0.01687815;0.03939135;-0.02987018;0.02461765;-0.01726067;0.128018
0.01626653;0.04775287;-0.01790978;-0.02428934;-0.02182028;0.1280388
0.02668114;0.03827331;-0.02454238;-0.02512043;-0.01529164;0.1299089
0.01501765;0.02571647;-0.03351362;-0.03148801;0.02426752;0.13000327
-0.02841599;0.0316583;-0.03661401;0.01810127;0.01527043;0.13006
0.02183675;0.02289069;0.02063381;-0.04234842;-0.02301284;0.13072251
0.01011264;0.0400261;0.01539677;-0.03203126;-0.03350425;0.13107102
-0.02187457;0.03689812;-0.02854965;0.02885686;-0.01533076;0.13150996
-0.02203531;0.03583694;-0.02290931;-0.0208413;0.02994898;0.13157184
-0.02128143;0.03435793;-0.02366839;0.03151502;-0.02092313;0.1317459
-0.02147888;0.03448764;-0.02356628;-0.02088024;0.03143776;0.1318508
-0.01652137;0.03898341;-0.01827947;-0.03120833;0.02702576;0.13201834
-0.03772648;0.04691989;0.00616854;-0.02855978;0.01319782;0.13257251
-0.01642366;0.03472879;-0.02377443;-0.02658276;0.03205206;0.1335617
-0.03394288;0.02993277;-0.0328906;0.01619477;0.02070595;0.13366697
-0.02671814;0.03133418;0.01780081;0.0177676;-0.04018444;0.13380517
-0.02492575;0.04622886;-0.01357254;0.02078242;-0.02851299;0.13402256
0.01805441;0.02953423;0.01969646;-0.03953645;-0.02774866;0.13457021
-0.02245113;0.03463363;-0.02164689;-0.02320125;0.03266564;0.13459854
-0.02634204;0.03936475;-0.04126192;0.00512024;0.02311897;0.13520792
-0.02430026;0.04558204;-0.02303053;0.02215777;-0.02040901;0.13547961
-0.02198962;0.0345934;-0.02244093;-0.02389752;0.03373466;0.13665613
-0.01689232;0.03797707;-0.02697739;-0.02467199;0.03056463;0.1370834
0.02985305;0.03896483;-0.01480515;-0.03783644;-0.01617629;0.13763576
0.01644613;0.02990858;-0.0341052;-0.03482898;0.02257947;0.13786836
-0.02053424;0.05264296;0.01632864;-0.01890105;-0.02953631;0.1379432
-0.02251714;0.03558007;-0.02018128;-0.02635691;0.03347525;0.13811065
0.03424604;0.0350596;-0.0226969;-0.02462208;-0.02198667;0.13861129
